match,sku,titulo,departamento,categoria,preco,preco_oferta,meta_fabricante,cor,meta_tamanho,mpn,gtin,meta_peso,meta_volume,meta_genero
28584,8064519A,Mochila Nike Kobe Baller BA4414 - Cor: Roxo/Preto,Acessorios,Basquete,199.9,189.91,Nike,ROXO/PRETO,,,,0,0,
28585,80633131,Mochila Puma Ferrari Réplica - Cor: PRETO/BRANCO,Acessorios,Casual,229.9,218.41,Puma,Preto/Branco,,,,0,0,
28586,8063313I,Mochila Puma Ferrari Réplica - Cor: VERMELHO/BRANCO,Acessorios,Casual,229.9,218.41,Puma,Vermelho/Branco,,,,0,0,
28598,81031306,Polo Nike GS Standard - Masculina - Cor: Vermelho,Vestuario,Casual,149.9,142.41,Nike,Colorido,,,,0,0,M
28609,80063602,Polo Nike UV - Masculina - Cor: PRETO,Vestuario,Tennis,0,0,Nike,Chumbo+Amarelo,,,,0,0,M
28645,80242708,Tênis Adidas Adria Snow White K - Infantil - Cor: AMARELO,Calcados,Casual,149.9,142.41,Adidas,AMARELO,,,,0,0,
28648,800291WI,Tênis Adidas At 120 Mesh - Feminino - Cor: CINZA ESC/ROSA,Calcados,Training,179.9,170.91,Adidas,Cinza Esc/Rosa,,,,0,0,F
28649,800291Q2,Tênis Adidas At 120 Mesh - Feminino - Cor: ROSA/BRANCO,Calcados,Training,179.9,170.91,Adidas,ROSA/BRANCO,,,,0,0,F
28652,801092XH,Tênis Adidas Cc Ride Ss13 – Feminino - Cor: Cinza Cla/Rosa,Calcados,Running Performance,0,0,Adidas,CINZA CLA/ROSA,,,,0,0,F
28661,81329949,Tênis Adidas Disney Cars 2 V2 CF - Infantil - Cor: Branco/Vermelho,Calcados,Training,69.9,66.41,Adidas,Branco/Vermelho,,,,0,0,
28662,8132992V,Tênis Adidas Disney Cars 2 V2 CF - Infantil - Cor: Vermelho/Preto,Calcados,Training,149.9,142.41,Adidas,VERMELHO/PRETO,,,,0,0,
28676,80235252,Tênis Adidas Lk Trainer 5 Syn Cf - Infantil - Cor: Branco/Azul,Calcados,Casual,0,0,Adidas,Branco/Azul,,,,0,0,
28803,81205001,Bermuda Adidas Adizero FW13 – Masculina - Cor: Branco,Vestuario,Tennis,0,0,Adidas,Prata+Azul,,,,0,0,M
28818,80491403,Bermuda Puma Checked Cargo - Masculina - Cor: CINZA,Vestuario,Casual,0,0,Puma,Preto,,,,0,0,M
28823,80422631,Bicicleta Ergométrica Kikos KV87 I110 v - Cor: PRETO/BRANCO,Equipamentos,Training,1799.9,1709.91,Kikos,Preto/Branco,,KV8.7i,7898947254975,0,0,
28826,80079866,Bola de Futebol de Campo Adidas Espanha - Cor: VERMELHO/AZUL ESC,Acessorios,Futebol,0,0,Adidas,VERMELHO/AZUL ESC,,,,0,0,
28830,8100730G,Bola de Futebol de Campo Nike FBC Support Ball FA13 - Cor: Amarelo/Azul Escuro,Acessorios,Futebol,79.9,75.91,Nike,Amarelo/Azul Escuro,,,,0,0,
28833,8103932R,Bola de Futebol de Campo Nike Inter de Milão Supporters - Cor: Azul/Branco,Acessorios,Futebol,69.9,66.41,Nike,Azul/Branco,,,,0,0,
28849,81637333,Bolsa Puma Evospeed Small 071654 - Cor: Preto/Amarelo,Acessorios,Futebol,129.9,123.41,Puma,Preto/Amarelo,,,,0,0,
28865,81106102,Calção Nike Academy Jaquard 544914 - Infantil - Cor: Preto,Vestuario,Futebol,44.9,42.66,Nike,Chumbo+Amarelo,,,,0,0,
28866,8045825C,Calção Nike Corinthians Home REPL - Infantil - Cor: Preto/Marrom Cla,Vestuario,Futebol,0,0,Nike,PRETO/MARROM CLA,,,,0,0,
28870,81012151,Calção Nike Manchester United Gk - Adulto - Cor: Branco/Preto,Vestuario,Futebol,99.9,94.91,Nike,Branco/Preto,,,,0,0,
28881,808300WG,Camisa Adidas Flamengo II GK - 2013 - s/n - Masculina - Cor: CINZA ESC/LARANJ ESC,Vestuario,Futebol,129.9,123.41,Adidas,CINZA ESC/LARANJ ESC,,,,0,0,M
28882,801628OC,Camisa Adidas Fluminense I - Infantil - Cor: VINHO/VERDE,Vestuario,Futebol,149.9,142.41,Adidas,VINHO/VERDE,,,,0,0,
28895,8047943I,Camisa Nike Internacional Hom s/nº - Infantil - Cor: VERMELHO/BRANCO,Vestuario,Futebol,89.9,85.41,Nike,Vermelho/Branco,,,,0,0,
28897,81011462,Camisa Nike Paris Saint-Germain Home – Masculina - Cor: Azul Esc/Branco,Vestuario,Futebol,0,0,Nike,Azul Esc/Branco,,,,0,0,M
28901,79606502,Camisa Puma Botafogo Away I - Infantil - Cor: Preto,Vestuario,Futebol,169.9,161.41,Puma,Chumbo+Amarelo,,,,0,0,
28909,80226251,Camiseta Adidas Core CCT - Feminina - Cor: BRANCO/PRETO,Vestuario,Training,99.9,94.91,Adidas,Branco/Preto,,,,0,0,F
28916,80995551,Camiseta Nike Academy SS TOP - Masculina - Cor: Branco/Preto,Vestuario,Futebol,0,0,Nike,Branco/Preto,,,,0,0,M
28972,791337WY,Chuteira Society Nike Tiempo Nat Iv Ltr - Infantil - Cor: Marrom Cla/Preto,Calcados,Futebol,0,0,Nike,Marrom Cla/Preto,,,,0,0,
28981,8025453H,Jaqueta Adidas Wov F50 SS13 - Cor: Azul Esc/Amarelo,Vestuario,Futebol,189.9,180.41,Adidas,Azul Esc/Amarelo,,,,0,0,
28986,800772T3,Jaqueta Nike Internacional Sdln - Masculina - Cor: LARANJA/CINZA ESCURO,Vestuario,Futebol,199.9,189.91,Nike,LARANJA/CINZA ESCURO,,,,0,0,M
29047,80228273,Tênis Adidas Adizero Crazy Light 2 - Masculino - Cor: AZUL ESC/CINZA,Calcados,Basquete,399.9,379.91,Adidas,AZUL ESC/CINZA,,,,0,0,M
29072,81517183,Tênis Adidas Porsche Gt Cup - Masculino - Cor: Cinza Escuro,Calcados,Casual,189.9,180.41,Adidas,Cinza Escuro,,,,0,0,M
29074,80028019,Tênis Adidas Power Trainer Entry - Masculino - Cor: PRETO/VERMELHO,Calcados,Training,0,0,Adidas,Preto/Vermelho,,,,0,0,M
29076,52441451,Tênis Adidas Star II - Unissex - Cor: Branco/Preto,Calcados,Casual,199.9,189.91,Adidas,Branco/Preto,,,,0,0,
29092,809936WI,Tênis Nike Flex Experience 599346 BB - Infantil - Cor: Cinza Esc/Rosa,Calcados,Training,119.9,113.91,Nike,Cinza Esc/Rosa,,,,0,0,
29113,810089QK,Tênis Nike Lunarglide 5 - Masculino - Cor: Verde Claro/Preto,Calcados,Running Performance,0,0,Nike,Verde Claro/Preto,,,,0,0,M
29120,809754N1,Tênis Nike Wmns Air Pegasus 30 - Feminino - Cor: Rosa/Verde Cla,Calcados,Running Performance,299.9,284.91,Nike,Rosa/Verde Cla,,,,0,0,F
29133,79730049,Tênis Puma Evospeed F1 LO SF - Infantil - Cor: Branco/Vermelho,Calcados,Casual,0,0,Puma,Branco/Vermelho,,,,0,0,
29136,812879FP,Tênis Puma Glyde TC Animal - Feminino - Cor: Preto/Rosa,Calcados,Casual,149.9,142.41,Puma,Preto/Rosa,,,,0,0,F
29293,80289731,Bicicleta Caloi Elite 10 - Quadro em Aluminio - Com Freio a Disco - 24V - Aro 26 - Cor: PRETO/BRANCO,Equipamentos,Bike,2599,2469.05,Caloi,Preto/Branco,,,,0,0,
29296,80291302,Bicicleta Caloi Supra 20 - Quadro em Alumínio - Com Freio a Disco - 24V - Aro 26 - Cor: PRETO,Equipamentos,Bike,0,0,Caloi,Chumbo+Amarelo,,,,0,0,
29299,81349006,Bola de Futebol de Campo Adidas Bayern Munique - Cor: Vermelho,Acessorios,Futebol,0,0,Adidas,Colorido,,,,0,0,
29302,8103613I,Bola de Futebol de Campo Nike Internacional Support - Cor: Vermelho/Branco,Acessorios,Futebol,69.9,66.41,Nike,Vermelho/Branco,,,,0,0,
29303,81040208,Bola de Futebol de Campo Nike Juventus Supporters - Cor: Amarelo,Acessorios,Futebol,69.9,66.41,Nike,AMARELO,,,,0,0,
29317,79645431,Bolsa Puma Powercat 5.12 Wheel - Cor: Preto/Branco,Acessorios,Futebol,149.9,142.41,Puma,Preto/Branco,,,,0,0,
29343,8082412V,Camisa Adidas Flamengo I - 2013 - s/nº - Masculina - Cor: VERMELHO/PRETO,Vestuario,Futebol,149.9,142.41,Adidas,VERMELHO/PRETO,,,,0,0,M
